ID_ESTABLECIMIENTO,Nombre del Establecimiento,Cadena Hotelera,Titular - Propiedad,CIF,País,Comunidad Autónoma,Isla,Municipio,Dirección Completa,Habitaciones,Plazas,Responsable Local,Cargo Local,Email Local,Responsable Corp,Cargo Corp,Email Corp,Edificio Prioritario,Servicio A01,Servicio A02,Servicio A03,Fecha Apertura,Fecha Cierre,STATUS
HS-492,María 5 Restaurant ,Treguer Hotels ,,,Spain,Balearic Islands,,,,0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-493,Mariant,Mariant Hotels,,,Spain,Balearic Islands,,s'illiot,"Carrer Llevant, 11, 07560 S'Illot, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-494,Mariant Park,Mariant Hotels,,,Spain,Balearic Islands,Mallorca,Sa Coma,"Avinguda de les Savines, 178, 07560 Sa Coma, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-495,Marina Bayview,Satocan Turismo,,,Spain,Canary Islands,Gran Canaria,Puerto Rico,"Av. Guayadeque, 3, 35130 Puerto Rico, Las Palmas",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-496,Marina Suites,Satocan Turismo,,,Spain,Canary Islands,Gran Canaria,Puerto Rico,"C. Juan Díaz Rodríguez, 10, 35130 Puerto Rico, Las Palmas",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-497,Marino Portixol,Kamaleónico y Marino Portixol,,,Spain,Balearic Islands,,,"Carrer de la Sirena, 1, Platja de Palma i Pla de Sant Jordi, 07006 Palma, Illes Balears, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-498,Marport ,Marport,,,Spain,Balearic Islands,Mallorca,Felanitx,"07200 Felanitx, Illes Balears, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-499,Mas que Menos FAN Mallorca,Quimicral,,,Spain,Balearic Islands,Mallorca,Palma de Mallorca,CC Fan Mallorca C/ del Cardenal Roselloneses s/n local 84.,0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-500,Maurici Park Apartamentos ,Pierre et Vacances,,,Spain,Cataluña,,Empuriabrava,"Av. Joan Carles I, s / n, 17487 Empuriabrava, Girona",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-501,Medium Romàntic Sitges,Medium,,,Spain,Catalonia,,Sitges,"Carrer de Sant Isidre, 33-35, 08870 Sitges, Barcelona",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-502,Medium Sitges Park,Medium,,,Spain,Catalonia,,Sitges,"Carrer Jesús, 16, 08870 Sitges, Barcelona",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-503,Medium Valencia,Medium,,,Spain,Valencia,,València," Av. d'Amado Granell Mesado, 48, Quatre Carreres, 46013 València, Valencia",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-504,Meloneras Golf Club,Lopesan Hotels,,,Spain,Canary Islands,Gran Canaria,Las Palmas,"Carretera GC-500, s/n, San Bartolomé de Tirajana",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-505,MIM Baqueira,MIM Hotels,,,Spain,Catalonia,,Baqueira,Avda Perimetrau s/n – Urb. Val de Ruda,0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-506,MIM Mallorca,MIM Hotels,,,Spain,Balearic Islands,,S'Illot,"Carrer Gregal, 22, 07687 S'Illot, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-507,Mirador del Castillo,Mirador del Castillo,,,Spain,Murcia ,,Benidorm,"C/ dels Quatre Cantons, 20, 03501 Benidorm, Alicante",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-508,Monterrey Roses,Pierre et Vacances,,,Spain,Catalonia,,Roses Girona,"Passeig Maritim, 72, 17480 Roses, Girona",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-509,Morvedra Nou - Only Adults,Annua Hoteles,,,Spain,Balearic Islands,,,"Camí de Macarella, Km 7, 07760, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-510,Mynd Adeje,Canarian Hospitality ,,,Spain,Canary Islands,,Callao Salvaje,"C. el Jable, 36, 38678 Callao Salvaje, Santa Cruz de Tenerife",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-511,Mynd Yaiza,Canarian Hospitality ,,,Spain,Canary Islands,Gran Canaria,"Playa Blanca, Las Palmas","C. Janubio, 3, 35580 Playa Blanca, Las Palmas",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-512,Na Petra,Marport,,,Spain,Balearic Islands,Mallorca,Felanitx,"07200 Felanitx, Illes Balears, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-513,Nativo Hotel Ibiza,Aguas de Ibiza,,,Spain,Balearic Islands,Ibiza,Ibiza,"Carrer els Clavells, 24 ",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-514,Negresco,Negresco e Isla Mallorca,,,Spain,Balearic Islands,,,"Av. Callao 924, C1023 Cdad. Autónoma de Buenos Aires, Argentina",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-515,Nobu Hotel Ibiza Bay,Nobu,,,Spain,Balearic Islands,,,"Carrer de Ses Feixes, 52, 07800, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-516,Nuevo Portil Golf,Nuevo Portil Golf,,,Spain,Andalucía,,Nuevo Portil Cartaya,"Av. Cristóbal Colón, s/n, 21459 Nuevo Portil Cartaya, Huelva",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-517,Nura Boreal,Nura Hotels,,,Spain,Balearic Islands,Mallorca,Palma,"Carrer de la Mar Jònica, 9, 07610 Palma, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-518,Nura Condór,Nura Hotels,,,Spain,Balearic Islands,Mallorca,Palma,"Carrer de la Mar Aràbiga, 1, 07610 Palma, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-519,OD Barcelona,OD Hotels,,,Spain,Catalonia,,Barcelona,"Carrer d'Aragó, 300",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-520,OD Sevilla,OD Hotels,,,Spain,Andalucía,,Sevilla,"Dirección: Pl. de la Encarnación, 15, Casco Antiguo, 41003 Sevilla",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-521,OKU Ibiza,OKU Hotels,,,Spain,Balearic Islands,Ibiza,Sant Antoni de Portmany,"Camí del Portixol, 2, 07820 Sant Antoni de Portmany, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-522,Olé Tropical Tenerife,Iberostar Hotels,,,1 España,Canarias - Tenerife,Tenerife,Costa Adeje,"C. Bolivia, s/n, 38660 Costa Adeje, Santa Cruz de Tenerife",219,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-523,Olive Beach ,Olive Beach,,,Spain,Balearic Islands,,,,0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-524,Om Thalasso Villa del Conde ,Lopesan Hotels,,,Spain,Canary Islands,Gran Canaria,San Bartolomé de Tirajana,"P.º de las Meloneras, 35100 Maspalomas, Las Palmas, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-525,Ona Palmira Paguera,Ona Hotels,,,Spain,Balearic Islands,Mallorca,Peguera,"Carrer dels Ametllers, 7, 07160 Peguera, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-526,Ona Palmira Paradise,Ona Hotels,,,Spain,Balearic Islands,Mallorca,Peguera,"Carrer de les Gavines, 24, 07160 Peguera, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-527,Only You Atocha Restaurante,Only You Hoteles,,,Spain,Madrid,,Madrid,Paseo de la Infanta Isabel 13  ,0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-528,Only YOU Boutique Hotel,Only You Hoteles,,,Spain,Madrid,,Madrid,"Calle Barquillo, 21",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-529,Only YOU Hotel Atocha,Only You Hoteles,,,Spain,Madrid,,Madrid,Paseo de la Infanta Isabel 13,0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-530,Only YOU Hotel Málaga,Only You Hoteles,,,Spain,Andalucía,,Málaga,"Alameda Principal, 1",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-531,Only YOU Hotel Sevilla,Only You Hoteles,,,Spain,Andalucía,,Sevilla,"Av. de Kansas City, 7, 41018 Sevilla",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-532,Only You Valencia,Only You Hoteles,,,Spain,Valencia,,Valencia,"Plaça de Rodrigo Botet, 5, Ciutat Vella, 46002 València, Valencia",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-533,Operador Hermanos Villegas,Anfi Grupo,,,Spain,Canary Islands,,,Club Gran Anfi / Av. Anfi,0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-534,Origo Mare,Pierre et Vacances,,,Spain,Canary Islands,,Lajares,"C. Majanicho, 100, 35650 Lajares, Las Palmas",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-535,Paguera Treff Boutique Hotel,Treff,,,Spain,Balearic Islands,Mallorca,Peguera,"Bulevar de Peguera, 31, 07160 Peguera, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-536,Palacio de Congresos,Lopesan Hotels,,,Spain,Canary Islands,Gran Canaria,San Bartolomé de Tirajana,"35290 San Bartolomé de Tirajana, Las Palmas, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-537,Palladium Hotel Cala Llonga,Palladium,,,Spain,Balearic Islands,,"Cala Llonga, Illes Balears","Carrer des Munt Aconcagua, s/n",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-538,Palladium Hotel Don Carlos,Palladium,,,Spain,Balearic Islands,Ibiza,"Santa Eulària des Riu, Illes Balears","Carrer els Rosers, 53",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-539,Palladium Hotel Menorca,Palladium,,,Spain,Balearic Islands,Menorca,Menorca,"Vía Jardín, s/n, 07740 Menorca",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-540,Palladium Hotel Palmyra,Palladium,,,Spain,Balearic Islands,Ibiza,"Sant Antoni de Portmany, Illes Balears","Avinguda del Doctor Fleming, 18",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-541,Palmera Sur Restaurante,Satocan Turismo,,,Spain,Canary Islands,Gran Canaria,San Bartolomé de Tirajana,"Av. Estados Unidos, 15, 35100 Maspalomas, Las Palmas, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-542,Panadería Lozano,Panadería Lozano,,,Spain,Balearic Islands,Mallorca,Palma,"Carrer Gremi de Tintorers, 31, Nord, 07009 Palma, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-543,Park Club Europe,Europe Hotels,,,Spain,Canary Islands,Tenerife,Arona - Tenerife," Avenida Rafael Puig, nº23; Playa de Las Américas",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-544,Parquemar aptos,Parquemar,,,Spain,Balearic Islands,,Cala d´Or," Av Parc de la Mar, 6, 07660 Santanyi, Islas Baleares",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-545,Pasta e Pesto,Pasta e Pesto,,,Spain,Balearic Islands,Mallorca,Palma,"Plaça del Mercat, 4, 07001 Palma, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-546,Petit Hotel Son Penya,Treguer Hotels ,,,Spain,Balearic Islands,Mallorca,Sant Llorenç des Cardassar,"finca Son Penya, Son Berga Vell, Camino de, 07530 Sant Llorenç des Cardassar, Balearic Islands",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-547,Playa Binibeca,Marport,,,Spain,Balearic Islands,,,MENORCA,0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-548,Playa Cala Comtessa,Marport,,,Spain,Balearic Islands,Mallorca,Calvià,"Cala Comtesa, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-549,Playa Cala en Porter,Marport,,,Spain,Balearic Islands,,,Menorca,0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-550,Playa Cas Saboners Aptos,Playa Cas Saboners Aptos,,,Spain,Balearic Islands,Mallorca,Calvià,"Av. de Cas Saboners, 07181, Illes Balears, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-551,Playa Es Carregador,Marport,,,Spain,Balearic Islands,Mallorca,Calvià,"Palmanova, Illes Balears, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-552,Playa Llucmajor,Marport,,,Spain,Balearic Islands,Mallorca,Llucmajor,"07620 Llucmajor, Illes Balears, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-553,Playa Oratori,Marport,,,Spain,Balearic Islands,Mallorca,Santanyí,"Platja de s'Oratori, Passatge a la Mar, 5, 07181 Portals Nous, Illes Balears, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-554,Playa Palmira,Marport,,,Spain,Balearic Islands,Mallorca,Calvià,"Bulevar de Peguera, 62A, 07160 Peguera, Illes Balears, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-555,Playa Punta Prima,Marport,,,Spain,Balearic Islands,Menorca,Sant Lluís,"Platja de Punta Prima, 07713 Sa Punta Prima, Illes Balears, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-556,Playa Son Bou,Marport,,,Spain,Balearic Islands,,,menorca,0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-557,Playa Xinxell,Marport,,,Spain,Balearic Islands,Mallorca,Calvià,"07184 Calvià, Illes Balears, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-558,Plus Fariones Apartamentos,Plus Fariones,,,Spain,Canary Islands,Gran Canaria,"Puerto del Carmen, Las Palmas","C. Timanfaya, 8",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-559,Plus Fariones Suite Hotel,Plus Fariones,,,Spain,Canary Islands,Lanzarote,Puerto del Carmen,"C. Acatife, 1, 35510 Puerto del Carmen, Las Palmas",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-560,Polideportivo Germans Escalas,IME,,,Spain,Balearic Islands,,,"Carretera de Sebastià Arrom, 4 C.P.: 07008",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-561,Port Salins Empuriabrava,Pierre et Vacances,,,Spain,Catalonia,,"Empuriabrava, Girona","Av. Fages de Climent, 10, 15, ",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-562,Portals Hills Boutique Hotel,Portals Hills,,,Spain,Balearic Islands,,Portals Nous,"Carrer d'en Seguí, 4, 07181 Portals Nous, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-563,Portofino Apartamentos ,Pierre et Vacances,,,Spain,Balearic Islands,,Santa Ponsa,"Av. de Gabriel Roca, 40, Ponent, 07014 Palma, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-564,Potabilizadora,Palladium Ibiza Potabilizadora,,,Spain,Balearic Islands,Ibiza,Sant Josep de sa Talaia,"07830 Sant Josep de sa Talaia, Illes Balears, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-565,Presentuoso,L'Artista Pizzeria,,,Spain,Balearic Islands,,,,0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-566,Privado,Privado,,,Spain,Balearic Islands,,,,0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-567,Puerto Alcudiamar,Alcudiamar ,,,Spain,Balearic Islands,Mallorca,Alcúdia,"Passeig Marítim, 1, 07400 Port d'Alcúdia, Illes Balears, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-568,Puerto de la Luz,Pierre et Vacances,,,Spain,Canary Islands,Gran Canaria,Las Palmas de Gran Canaria,"C. Juan Rejón, 42, 35008 Las Palmas de Gran Canaria, Las Palmas",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-569,Puerto de Soller,Marport,,,Spain,Balearic Islands,Mallorca,Sóller,"Platja des Traves, 07108 Sóller, Balearic Islands, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-570,Quiosco Cala Comtesa,Marport,,,Spain,Balearic Islands,,,Playa Illetas,0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-571,Quiosco Oratori,Marport,,,Spain,Balearic Islands,,,Playa Portals Nous,0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-572,Radisson Blu Arguineguin,Radisson Blu,,,Spain,Canary Islands,,Arguineguin,"Diseminado Bco, 35120 Arguineguin, Las Palmas",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-573,Radisson Blu Lanzarote,Radisson Blu,,,Spain,Canary Islands,Lanzarote,Lanzarote,"Av. del Mar, 26, 35508 Lanzarote",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-574,Radisson Blu Mogán,Radisson Blu,,,Spain,Canary Islands,,Lomo Quiebre,"Av. Los Marrero, 35, Puerto de Mogán, 35138 Lomo Quiebre, Las Palmas",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-575,Radisson Blu Tenerife ,Radisson Blu,,,Spain,Canary Islands,Tenerife,Puerto de la Cruz,"Carretera General Puerto de la Cruz - Arenas, 51, 38400",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-576,Restaurante Alubia,Restaurante Alubia,,,Spain,Balearic Islands,Mallorca,Palma,"Pg. de Mallorca, 34, Centre, 07012 Palma, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-577,Restaurante Amú,Gran Marbella Resort and Beach Club,,,Spain,Andalucía,,,,0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-578,Restaurante Atlantico,Restaurante Atlantico,,,Spain,Canary Islands,Gran Canaria,"San Bartolomé de Tirajana,","Av. de Gran Canaria, 80, 35100  Las Palmas",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-579,Restaurante Ayre Acapulco Ocean View,Apartamentos Ocean View,,,Spain,Canary Islands,Gran Canaria,San Bartolomé de Tirajana,"C. los Pinos, 13 Las Palmas",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-580,Restaurante Camarinas Mazagón,Hostería de La Rábida,,,Spain,Andalucía,,Mazagón,"Av. Conquistadores, 178, 21130 Mazagón, Huelva",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-581,Restaurante El Aljibe del Obispo,Bodega Stratvs,,,Spain,Canary Islands,Lanzarote,"Yaiza, Lanzarote, España","Carretera Lz Km. 30 La Geria- Uga Km. 18,  ",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-582,Restaurante El Puerto,Satocan Turismo,,,Spain,Canary Islands,Gran Canaria,San Bartolomé de Tirajana,"C. Juan Díaz Rodríguez, 10, 35130 Puerto Rico, Las Palmas, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-583,Restaurante Khun Gran Bahia,Anfi Grupo,,,Spain,Canary Islands,Gran Canaria,Mogán,"35129 Barranco de la Verga, Las Palmas, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-584,Restaurante La Cascada,Anfi Grupo,,,Spain,Canary Islands,,,Anfi Beach Club - Monte Anfi - Av. Anfi del Mar,0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-585,Restaurante La Llonja,Restaurante La Llonja,,,Spain,Balearic Islands,Mallorca,Port de Pollença,"Muelle VIEJO BAJO;REST. LA LONJA, 07470 Port de Pollença, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-586,Restaurante La Posada,Anfi Grupo,,,Spain,Canary Islands,Gran Canaria,Mogán,"35129 Barranco de la Verga, Las Palmas, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-587,Restaurante Madunia,Restaurante Madunia,,,Spain,Balearic Islands,Ibiza,Sant Antoni de Portmany,"Ctra. Cap Negret, 16, 07820 Sant Antoni de Portmany, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-588,Restaurante Monte Vista,Anfi Grupo,,,Spain,Canary Islands,Gran Canaria,Mogán,"35140 Mogán, Las Palmas, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-589,Restaurante Nelson,Restaurante Nelson,,,Spain,Canary Islands,,Arinaga,"Av. Polizón, 47, 35118 ",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-590,Restaurante Nube Steak House,Anfi Grupo,,,Spain,Canary Islands,,,Anfi Emeral Club,0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-591,Restaurante Poke,Anfi Grupo,,,Spain,Canary Islands,Gran Canaria,Mogán,"35140 Mogán, Las Palmas, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-592,Restaurante Puerto Vista,Anfi Grupo,,,Spain,Canary Islands,,,Club Puerto Anfi,0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-593,Restaurante Samar,Kyrat Hotels,,,Spain,Balearic Islands,Mallorca,"Son Servera,","Carrer de la Vinya del Mar, 1,  Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-594,Restaurante Sunset,Satocan Turismo,,,Spain,Canary Islands,Gran Canaria,Maspalomas,"Urbanización Salobre Golf, GC 1 km 53, 35100 Maspalomas, Las Palmas",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-595,Restaurante Tropicana,Anfi Grupo,,,Spain,Canary Islands,Gran Canaria,Mogán,"35140 Mogán, Las Palmas, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-596,Restaurante&Waves,Satocan Turismo,,,Spain,Canary Islands,Gran Canaria,San Bartolomé de Tirajana,"San Bartolomé de Tirajana, Las Palmas, España",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-597,Ritzi Restaurant,Bo Hotel,,,Spain,Balearic Islands,,Portals Nous," Ctra. Vella, 9, 07181 Portals Nous, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-598,Robinson Club Jandia Playa,Robinson,,,Spain,Canary Islands,Fuerteventura,Morro Jable,"Av. del Saladar, 6, 35626 Morro Jable, Las Palmas",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-599,Robinson Esquinzo Playa,Robinson,,,Spain,Canary Islands,,,"Urbanizacion Butihondo C, C. Gran Canaria, 2, 35626, Las Palmas",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-600,Room Mate Alba,Room Mate,,,Spain,Madrid,,Madrid," C. de las Huertas, 16, Centro, 28012 Madrid",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-601,Room Mate Alicia,Room Mate,,,Spain,Madrid,,Madrid,"C. del Prado, 2, Centro, 28014 Madrid",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-602,Room Mate Anna,Room Mate,,,Spain,Catalonia,,Barcelona,"C/ d'Aragó, 271, L'Eixample, 08007 Barcelona",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-603,Room Mate Carla,Room Mate,,,Spain,Catalonia,,Barcelona,"C/ de Mallorca, 288, L'Eixample, 08037 Barcelona",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-604,Room Mate Cosmo ,Room Mate,,,Spain,Valencia,,València,"Av. de María Cristina, 8, Ciutat Vella, 46001 València, Valencia",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-605,Room Mate Gerard,Room Mate,,,Spain,Catalonia,,Barcelona,"C/ d'Ausiàs Marc, 34, L'Eixample, 08010 Barcelona",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-606,Room Mate Gorka,Room Mate,,,Spain,País Vasco,,Donostia,"Gipuzkoa Plaza, 11, 20004 Donostia, Gipuzkoa",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-607,Room Mate Helen Berger ,Room Mate,,,Spain,Valencia,,València,"C/ de les Comèdies, 22, 24, Ciutat Vella, 46003 València, Valencia",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-608,Room Mate Leo,Room Mate,,,Spain,Andalucía,,Granada,"Calle Campo Verde, 1, Centro, 18001 Granada",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-609,Room Mate Macarena,Room Mate,,,Spain,Madrid,,Madrid,"Gran Vía, 43, Centro, 28013 Madrid",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-610,Room Mate Mario,Room Mate,,,Spain,Madrid,,Madrid,"C. de Campomanes, 4, Centro, 28013 Madrid",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-611,Room Mate Óscar,Room Mate,,,Spain,Madrid,,Madrid,"Pl. de Pedro Zerolo, 12, Centro, 28004 Madrid",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-612,Room Mate Pau,Room Mate,,,Spain,Catalonia,,Barcelona,"C/ de Fontanella, 7, L'Eixample, 08010 Barcelona",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-613,Room Mate Valeria,Room Mate,,,Spain,Andalucía,,Málaga,"Plaza Poeta Alfonso Canales, 5, Distrito Centro, 29001 Málaga",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-614,Rooms Ciencias,Room Mate,,,Spain,Valencia,,València,"Av. de l'Institut Obrer de València, 20, Quatre Carreres, 46013 València, Valencia",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-615,Roquetas De Mar,Pierre et Vacances,,,Spain,Andalucía,,"Roquetas de Mar, Almería",Résidence,0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-616,Roquetas El Palmeral,Pierre et Vacances,,,Spain,Andalucía,,"Roquetas de Mar, Almería","Av. Mediterráneo, 12, 04740 de Mar, Almería",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-617,Sa Llotja Cala d’Or,Restaurantes Sa Llotja,,,Spain,Balearic Islands,Mallorca,Santanyí," Carrer Vial D, 10, 07660 Santanyí, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-618,Sa Llotja Portocolom,Restaurantes Sa Llotja,,,Spain,Balearic Islands,Mallorca,Portocolom,"Edificio Portuario, Carrer dels Pescadors, s/n, 07670 Portocolom, Balearic Islands",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-619,Salobre Hotel Resort & Serenity,Satocan Turismo,,,Spain,Canary Islands,Gran Canaria,Maspalomas,"Urbanización Salobre Golf, GC 1 km 53, 35100 Maspalomas, Las Palmas",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-620,Salou Apartamentos,Pierre et Vacances,,,Spain,Cataluña,,Salou,"Calle Pompeu Fabra, 25",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-621,Salou Sunset ,Pierre et Vacances,,,Spain,Catalonia,,"Salou, Tarragona","Carrer del Vendrell, 9, 43840 Salou, Tarragona",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-622,Schwaiger,Schwaiger Xino's,,,Spain,Balearic Islands,Mallorca,"Palma, Balearic Islands","Centro Comercial Son Moix, Camí de la Vileta, 39",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-623,Sevilla,Pierre et Vacances,,,Spain,Andalucía,,Sevilla,"Calle Pagés del Corro, 102",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-624,Sholeo Lodges Las Palmas Flats,Canarian Hospitality ,,,Spain,Canary Islands,Gran Canaria,Las Palmas de Gran Canaria,"C. Juan Rejón, 20, 35008 Las Palmas de Gran Canaria, Las Palmas",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-625,Sholeo Lodges Maspalomas,Canarian Hospitality ,,,Spain,Canary Islands,Gran Canaria,Las Palmas de Gran Canaria,"C. Juan Rejón, 20, 35008 Las Palmas de Gran Canaria, Las Palmas",269,0,,,,,,,NO,NO,NO,NO,,,Activo
