ID_ESTABLECIMIENTO,Nombre del Establecimiento,Cadena Hotelera,Titular - Propiedad,CIF,País,Comunidad Autónoma,Isla,Municipio,Dirección Completa,Habitaciones,Plazas,Responsable Local,Cargo Local,Email Local,Responsable Corp,Cargo Corp,Email Corp,Edificio Prioritario,Servicio A01,Servicio A02,Servicio A03,Fecha Apertura,Fecha Cierre,STATUS
HS-409,Iberostar Real Novo Sancti Petri Golf Club,Iberostar Hotels,,,Spain,Andalucía,,Urb,"11130 Urb. Novo Santi Petri, Cádiz",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-410,Iberostar Selection Albufera Park,Iberostar Hotels,,,1 España,Baleares- Mallorca,Mallorca,Playa del Muro,"Calle Dunes, 1, Avenida Playas de Muro, 07458 Playa del Muro, Mallorca, Balearic Islands",250,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-411,Iberostar Selection Albufera Playa,Iberostar Hotels,,,1 España,Baleares- Mallorca,Mallorca,Alcúdia,"Avda. Playa de Muro, s/n, 07458 Alcúdia, Illes Balears",402,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-412,Iberostar Selection Andalucía Playa,Iberostar Hotels,,,1 España,Andalucía- Cádiz,,Chiclana de la Frontera,"Calle Amílcar Barca, Urbanización Novo Sancti Petri, 11130 Chiclana de la Frontera, Cádiz",290,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-413,Iberostar Selection Anthelia,Iberostar Hotels,,,1 España,Canarias - Tenerife,Tenerife,Costa Adeje,"C. Londres, 15, 38660 Costa Adeje, Santa Cruz de Tenerife",472,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-414,Iberostar Selection Creta Marine,Iberostar Hotels,,,3 Grecia,Creta,,,"P.B. Box 265, Panormos 741 00, Grecia",359,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-415,Iberostar Selection Diar El Andalous,Iberostar Hotels,,,5 Túnez,Túnez,,,"40 Port El Kantaoui BP, Sousse 4089, Túnez",379,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-416,Iberostar Selection Eolia Djerba,Iberostar Hotels,,,5 Túnez,Túnez,,,"B.P. N° 82, Zone touristique Midoun, Djerba 4116, Túnez",315,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-417,Iberostar Selection Es Trenc,Iberostar Hotels,,,1 España,Baleares- Mallorca,Mallorca,Colònia de Sant Jordi,"Carrer Cristòfol Colón, s/n, 07638 Colònia de Sant Jordi, Illes Balears",412,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-418,Iberostar Selection Fuerteventura Palace,Iberostar Hotels,,,1 España,Canarias - Fuerteventura,,Las Gaviotas,"Pje. Playas, 1, 35626 Las Gaviotas, Las Palmas",130,0,,,,,,,NO,NO,NO,NO,,,Activo
